"id","Symbol","Company","Marketcap"
"1","RELIANCE","Reliance Industries Limited","  174,889,555 "
"2","TCS","Tata Consultancy Services Limited","  137,248,532 "
"3","HDFCBANK","HDFC Bank Limited","  129,740,454 "
"4","ICICIBANK","ICICI Bank Limited","  69,902,441 "
"5","INFY","Infosys Limited","  64,037,071 "
"6","HINDUNILVR","Hindustan Unilever Limited","  62,591,936 "
"7","BHARTIARTL","Bharti Airtel Limited","  58,028,012 "
"8","ITC","ITC Limited","  57,649,788 "
"9","SBIN","State Bank of India","  57,300,471 "
"10","LICI","Life Insurance Corporation Of India","  52,655,606 "
"11","LT","Larsen & Toubro Limited","  48,466,574 "
"12","BAJFINANCE","Bajaj Finance Limited","  45,287,186 "
"13","HCLTECH","HCL Technologies Limited","  39,785,044 "
"14","KOTAKBANK","Kotak Mahindra Bank Limited","  37,924,093 "
"15","AXISBANK","Axis Bank Limited","  33,991,569 "
"16","ASIANPAINT","Asian Paints Limited","  32,635,746 "
"17","TITAN","Titan Company Limited","  32,630,136 "
"18","ADANIENT","Adani Enterprises Limited","  32,478,062 "
"19","MARUTI","Maruti Suzuki India Limited","  32,390,854 "
"20","ULTRACEMCO","UltraTech Cement Limited","  30,320,906 "
"21","SUNPHARMA","Sun Pharmaceutical Industries Limited","  30,218,424 "
"22","NTPC","NTPC Limited","  30,171,177 "
"23","BAJAJFINSV","Bajaj Finserv Limited","  26,896,750 "
"24","DMART","Avenue Supermarts Limited","  26,567,154 "
"25","TATAMOTORS","Tata Motors Limited","  25,916,546 "
"26","ONGC","Oil & Natural Gas Corporation Limited","  25,795,863 "
"27","NESTLEIND","Nestle India Limited","  25,627,587 "
"28","ADANIGREEN","Adani Green Energy Limited","  25,296,999 "
"29","WIPRO","Wipro Limited","  24,621,823 "
"30","COALINDIA","Coal India Limited","  23,171,859 "
"31","ADANIPORTS","Adani Ports and Special Economic Zone Limited","  22,127,383 "
"32","POWERGRID","Power Grid Corporation of India Limited","  22,061,032 "
"33","JSWSTEEL","JSW Steel Limited","  21,526,109 "
"34","M&M","Mahindra & Mahindra Limited","  21,505,588 "
"35","ADANIPOWER","Adani Power Limited","  20,254,715 "
"36","BAJAJ-AUTO","Bajaj Auto Limited","  19,233,319 "
"37","HAL","Hindustan Aeronautics Limited","  18,752,451 "
"38","LTIM","LTIMindtree Limited","  18,627,749 "
"39","IOC","Indian Oil Corporation Limited","  18,336,428 "
"40","DLF","DLF Limited","  17,980,688 "
"41","TATASTEEL","Tata Steel Limited","  17,167,077 "
"42","VBL","Varun Beverages Limited","  16,069,990 "
"43","JIOFIN","Jio Financial Services Limited","  14,799,976 "
"44","SBILIFE","SBI Life Insurance Company Limited","  14,343,767 "
"45","SIEMENS","Siemens Limited","  14,332,772 "
"46","GRASIM","Grasim Industries Limited","  14,056,565 "
"47","HDFCLIFE","HDFC Life Insurance Company Limited","  13,908,316 "
"48","HINDALCO","Hindalco Industries Limited","  13,817,011 "
"49","PIDILITIND","Pidilite Industries Limited","  13,809,216 "
"50","BEL","Bharat Electronics Limited","  13,464,613 "
"51","HINDZINC","Hindustan Zinc Limited","  13,438,627 "
"52","IRFC","Indian Railway Finance Corporation Limited","  12,983,561 "
"53","BRITANNIA","Britannia Industries Limited","  12,858,634 "
"54","PFC","Power Finance Corporation Limited","  12,626,189 "
"55","INDUSINDBK","IndusInd Bank Limited","  12,435,549 "
"56","TECHM","Tech Mahindra Limited","  12,421,248 "
"57","BANKBARODA","Bank of Baroda","  11,951,018 "
"58","ADANIENSOL","Adani Energy Solutions Limited","  11,665,265 "
"59","GODREJCP","Godrej Consumer Products Limited","  11,570,144 "
"60","INDIGO","InterGlobe Aviation Limited","  11,451,378 "
"61","EICHERMOT","Eicher Motors Limited","  11,343,888 "
"62","RECLTD","REC Limited","  10,871,265 "
"63","ATGL","Adani Total Gas Limited","  10,865,574 "
"64","TRENT","Trent Limited","  10,859,964 "
"65","ZOMATO","Zomato Limited","  10,775,403 "
"66","GAIL","GAIL (India) Limited","  10,658,237 "
"67","TATAPOWER","Tata Power Company Limited","  10,613,320 "
